titulo,ano,abstract
Mineral Energy Sources and Political Activities: Introduction to Mutual Dependencies and Their Selected Exemplification,2014,"The mineral energy sources, possessed by a certain state or remaining an object of interest for it, may form a basis for political activities, both oriented on usage either of the purely political (non-militarized) or militarized methods. The usage of these sources in the political context may have a natural impact on the essence of sustainable development, especially then if to juxtapose it with previous experiences of the mankind. The natural gas based energy policy seems to be the key factor for the above political activities of states with imperial ambitions, as the contemporary Russia. Referring to the shale gas, the syndrome as such concerns the monopolistic position of the USA in terms of the applied exploitation technologies. The size of coal mining and steel production at the turn of the 19th and 20th century, or oil fields’ possession and their usage before and during WW II used to play such a role in the past. In both of these cases there were necessary prerequisites for planning the military campaigns in potential wars (envisaged as successful indeed). Fortunately such an extreme way of conducting political activities is not confirmed today. Following the same trace the policy of the possessed energy sources’ usage, or taking over those being in possession of others, might ultimately lead towards maintaining an economic and perhaps political supremacy of ones over others. On the one hand it demonstrates the policy of pressure led by stronger, imperially oriented states against weaker and dependent ones. On the other one, it shows the results of the mutual antagonizing policy of the latter stimulated by the stronger state- and non-state-like entities, having their own interests. Due to some experiences, taken from the most recent past, one can speculate, if the possessed or desired energy sources may be utilized as a tool for unequivocally political decisions, also in the military sphere. It is hard to be optimistic bearing in mind the rule that history tends to repeat itself. Such scepticism is even deeper if we realize that the control over the water reserves remains a source of the future large-scale international conflicts."
Monitoring Marcellus: A Case Study of a Collaborative Volunteer Monitoring Project to Document the Impact of Unconventional Shale Gas Extraction on Small Streams,2016,"The rapid growth of the natural gas extraction industry in Pennsylvania and neighboring states has stirred concerned citizens to seek ways to collect data on water quality impacts from the extraction activi- ties. As a response to requests from community members, the Alliance for Aquatic Resource Monitoring (ALLARM) developed a volunteer-friendly protocol in 2010 for early detection and reporting of surface water contamination by shale gas extraction activities in small streams. To date, ALLARM has trained more than 2,000 volunteers in Pennsylvania, New York, and West Virginia to monitor water quality (conductivity, barium, strontium, and total dissolved solids) and physical parameters (stream stage and visual observations) prior to, during, and after shale gas wells have been developed. This paper documents the operational models of Public Participation in Scientific Research (PPSR) used by ALLARM, describes the volunteer monitoring protocol developed, and examines three years of water quality results from hundreds of monitoring sites in Pennsylvania and New York. The majority of watersheds monitored are small, forested, headwater streams. Results indicate that mean conductivity in streams is strongly and positively related to the percentage of development and the percentage of limestone in the watersheds. Mean conductivity is not significantly related to number or density of drilled wells, although the dataset did not lend itself to finding a signal from shale gas activities because only 20% of the watersheds had wells drilled at the time of sampling. This fact enables the use of these data as baseline data for future documentation of shale gas impacts on water quality. Volunteers have reported multiple cases of visual pollution related to shale gas activities, but have not identified water contamination events based on stream water chemistry. The results of the volunteer dataset are compared with results from the scientific literature, affirming the credibility and usefulness of the data. Some lessons learned from this project include: The importance of strong and timely support to volunteers to ensure accurate reporting in real-time; the unique role that citi- zen scientists can play in a rural landscape where well sites are remote and government oversight is not prac- tical; and the importance of customizing a PPSR operational model to fit the goals and scale of the project. Recommendations for continued collection and analysis of data include: 1) develop and implement an intentional study design to monitor those watersheds that now have baseline data once drilling begins, 2) target watersheds whose characteristics are under-represented in this dataset, 3) consider the analysis of additional parameters and the monitoring of high risk systems, 4) develop a central, user-friendly data- base for volunteers to submit their own data and receive preliminary analyses, and 5) partner with other volunteer data collectors to collaborate with data analysis and interpretation."
Multi-criteria decision making and fairness evaluation of water ecological carrying capacity for inter-regional green development.,2021,"Determining water ecological carrying capacity (WECC) is of great significance to ensure inter-regional green development. This study presents a comprehensive evaluation framework for WECC assessment in the Yangtze River Economic Zone (YREZ), China. Effects of water resources, socio-economic, and ecological elements on WECC can be evaluated based on multi-criteria decision analysis. Gini and unbalance coefficients are used for measuring the regional fairness between WECC and socio-economic development. Surface water production pressure (SWPP) and groundwater pollution risk (GPR) are further regarded as indicators for expressing water resources constraint on shale gas extraction in the YREZ. Results disclose that the average WECC level decreases from 0.439 in 2000 to 0.4007 in 2016, which is the opposite of the changing trend in the Beijing-Tianjin-Hebei Region. A high WECC level appears in Zhejiang (0.5126) with a good state, but that of Guizhou (0.3983), Anhui (0.3968), Hunan (0.3914), and Chongqing (0.3651) are at the alert state. The obstacle factors of WECC in the eastern YREZ mostly originate from socio-economic and water resource subsystems, while that in the middle and western YREZ mainly arise from water resources and ecological subsystems. Fairness analysis shows a well-matching characteristic between the overall WECC and socio-economic performances due to a majority of their Gini coefficients lower than 0.4, while a poor matching characteristic exists in terms of provincial differences owing to their varied unbalance coefficients, especially in Guizhou, Jiangsu, and Shanghai. Moreover, Chongqing with most of shale gas reserves is characterized by slight SWPP (1.0202) and GPR (0.0188), but the prospect of shale gas development in Sichuan is not optimistic due to its high SWPP (1.0846) and GPR (0.0647). Recycling of flowback and product waters can significantly lighten regional water resources pressure. This presented framework can be applied into many other Chinese cities (e.g., Beijing-Tianjin-Hebei Region) with slight modifications according to their actual situations for supporting water resource managers and government with decision making."
"Natural Resources - Technology, Economics & Policy",2012,"Section 1: Introduction 1.1 Symbiotic relationship between mangroves and coastal communities 1.2 Earth system science for global sustainability 1.3 ""Virtual"" natural resources 1.4 Natural resources and globalization 1.4.1 General considerations 1.4.2 Different aspects of globalisation 1.4.3 Natural resources and violent conflicts 1.5 Innovation chain and economic growth References Section 2: Water resources management 2.1 Holistic water resources management, based on the hydrological cycle (U. Aswathanarayana) 2.1.1 Introduction - water and culture 2.1.2 Water balance 2.1.3 Green and blue waters 2.1.4 Conjunctive use of water resources 2.1.5 Water resources endowments of countries 2.1.6 Decision - Support system for water resources management 2.1.7 Paradigm of global water resources management 2.1.8 How best to use water resources - India as a case References 2.2 Economic frameworks to inform decision-making (U. Aswathanarayana, India) 2.2.1 An integrated economic approach to water scarcity 2.2.2 Role of the private sector in the water resources management 2.2.3 Tools for policy makers 2.2.4 Quo vadis? References 2.3 Multiple perspectives on water: A synthesis (Ramaswamy R. Iyer) 2.3.1 Nature of water 2.3.2 Perspectives on water References 2.4 Water pollution (U. Aswathanarayana) 2.4.1 Pathways of pollution 2.4.2 Activities that can cause groundwater pollution 2.4.3 Leachates from solid wastes, source-wise 2.4.4 Pollution from liquid wastes, source-wise 2.4.5 Contaminants, type-wise 2.4.6 Anthropogenic acidification of waters 2.4.7 Water pollution arising from waste disposal 2.4.8 Transport of contaminant solutes in aquifers References 2.5 Sequential use of water resources (U. Aswathanarayana) 2.5.1 Water quality in relation to water use 2.5.2 Estimates of water value for different uses 2.5.3 Water value in system context 2.5.4 Price coordination of water supplies 2.5.5 Principles of optimization 2.5.6 Price coordination of a typical irrigation system 2.5.7 Optimization methods in water management 2.5.8 Allocation of water to competing users 2.5.9 Decision-making process References 2.6 Wastewater reuse systems (U. Aswathanarayana) 2.6.1 Introduction 2.6.2 Bio-pond treatment of waste water 2.6.3 Types of wastewater reuse 2.6.4 Use of wastewater in irrigation 2.6.5 Geopurification 2.6.6 Economics of wastewater reuse 2.6.7 Health hazards in wastewater reuse 2.6.8 Use of sewage sludge as fertilizer References 2.7 Etiology of diseases arising from toxic elements in drinking water (U. Aswathanarayana) 2.7.1 Routes and consequences of ingestion of toxic elements 2.7.2 Arseniasis 2.7.3 Fluorosis 2.7.4 Risk assessment References 2.8 Water and agriculture: Usefulness of agrometeorological advisories (L.S. Rathore, N. Chattopadhyay & S.V. Chandras) 2.8.1 Introduction 2.8.2 Impact of climatic variability on agricultural water challenges 2.8.3 Usefulness of agro-climatic information in water use 2.8.4 Farmer-customized agrometeorological advisories 2.8.5 Integration of agro-climatic resources with agricultural inputs 2.8.6 Projection of water status in Indian agriculture under future climate change scenario 2.8.7 How to produce more food (through optimization of soil-water-plant system) 2.8.8 How to do with less water (in agriculture, industry and domestic purposes) 2.8.9 Conclusion References 2.9 Remote sensing in water resources management (Venkat Lakshmi, USA) 2.9.1 Background and societal importance 2.9.2 Current monitoring methodologies 2.9.3 Land surface modeling and data assimilation References 2.10 Case history and exercises (B. Venkateswararao & V. Varalakshmi) 2.10.1 Introduction 2.10.2 Description of the study area 2.10.3 Rainfall analysis of the catchment area 2.10.4 Analysis of inflows to the reservoirs 2.10.5 Verification of the cropping area in the catchments 2.10.6 Water table contour maps and analysis 2.10.7 Discussion on hydrographs of observation wells 2.10.8 Composite hydrographs of piezometer wells 2.10.9 Rainfall and water level rise relationship 2.10.10 Influence of premonsoon groundwater levels over the recharge of rainfall water to the ground 2.10.11 Implications of the study and conclusions References Exercises 2.11 Basic research and R&D (B. Rajagopalan & C. Brown, USA) 2.11.1 Background - Traditional water resources management 2.11.2 New paradigm for water resources management 2.11.3 R&D for managing water resources under uncertainty 2.11.4 Colorado river management - Case study References Section 3: Mineral resources management (U. Aswathanarayana) 3.1 Introduction 3.1.1 Environmental challenges facing the mining industry 3.1.2 Mining, environmental protection and sustainable development 3.1.3 Economics of environmental protection in mining 3.1.4 Technology trends in the mining industry 3.1.5 Automation in the mining industry 3.1.6 Technology-driven developments in the mining industry 3.2 Mineral demand in response to emerging technological needs 3.2.1 Emerging technological needs 3.2.2 Rare earth elements 3.2.3 Gold 3.2.4 Aluminium 3.2.5 Copper 3.2.6 Lead 3.3 Control technologies for minimizing the environmental impact of mining 3.3.1 Acid mine drainage 3.3.2 Tailings disposal 3.3.3 Dust control technologies 3.3.4 Low-waste technologies 3.3.5 Treatment of wastewater 3.3.6 Subsidence 3.3.7 Noise and vibration 3.3.8 Planning for mine closure 3.4 Health and socioeconomic impacts of the mining industry 3.4.1 Health hazards of the mining industry 3.4.2 Health hazards due to dusts 3.4.3 Matrix diagrams 3.4.4 Total project development - A visionary approach 3.5 Artisanal mining 3.6 Ways of ameliorating the adverse consequences of mining industry 3.6.1 Rehabilitation of mined land 3.6.2 Beneficial use of mining wastes 3.6.3 Reuse of mine water 3.7 Iron ore mine of Kiruna, Sweden - A case study 3.8 Basic research and R&D References Section 4: Energy resources management (U. Aswathanarayana) 4.1 Coal resources 4.1.1 Importance of coal in the energy economy 4.1.2 Environmental impact of the coal cycle 4.1.3 Wastes from coal industries 4.1.4 Power generation technologies 4.1.5 China - a country case study 4.2 Oil and gas resources 4.2.1 Oil 4.2.2 Natural gas 4.2.3 Shale gas 4.2.4 Saudi Arabia - a country case study 4.3 Nuclear fuel resources 4.3.1 Introduction 4.3.2 Resource position 4.3.3 Cost of nuclear power 4.3.4 Projected nuclear power capacity 4.3.5 New reactor designs 4.3.6 R&D areas 4.3.7 Country case study of France 4.4 Renewable energy resources 4.4.1 Why renewables? 4.4.2 Renewable energy sources 4.5 Strategy for a low-carbon footprint 4.5.1 Carbon emissions and climate change 4.5.2 Mitigation of climate change 4.6 Exercises References Section 5: Bioresources and biodiversity (S. Balaji) 5.1 Introduction 5.2 What is biodiversity? 5.2.1 Endemism and keystone species 5.3 Why conserve biodiversity 5.4 Global biodiversity resources 5.5 Erosion of biodiversity 5.5.1 Causes for the erosion of biodiversity 5.5.2 Habitat loss 5.5.3 Invasive alien species 5.5.4 Pollution 5.5.5 Human population 5.5.6 Overexploitation 5.5.7 Arresting biodiversity loss 5.6 Climate change and biodiversity 5.6.1 Role of forests in climate change mitigation 5.7 Role of biodiversity in medicine, agriculture and forestry 5.7.1 Biodiversity in medicine 5.7.2 Agro-biodiversity 5.7.3 Biodiversity and forestry 5.8 Biodiversity and biotechnology 5.8.1 Biotechnology for biodiversity assessment 5.8.2 Biodiversity utilization 5.8.3 Impacts 5.8.4 Biotechnology for prospecting genetic diversity 5.8.5 Genetically modified foods 5.8.6 Environmental biotechnology 5.8.7 Pragmatic use of biotechnology 5.9 Economics and policy of biodiversity management 5.9.1 Economics and policy 5.9.2 Tangible and intangible uses of biodiversity 5.9.3 Conservation strategy 5.10 Future prospects 5.10.1 The strategic plan - Aichi targets 2011-2020 5.10.2 Scope for future research 5.11 Conclusion: Living in harmony with nature 5.12 Exercises References Section 6: Disaster management (U. Aswathanarayana) 6.1 Hazardous events (natural, mixed and technological) 6.2 Vulnerability to hazardous events 6.2.1 Earthquakes 6.2.2 Tsunamis 6.2.3 Volcanic hazards 6.2.4 Slope failures, landslides and subsidence 6.3 Marine hazards 6.3.1 Introduction 6.3.2 Types of marine hazards 6.3.3 Natural hazards 6.3.4 Man-made hazards References 6.4 Nuclear energy sector accidents 6.4.1 The Three Mile Island (TMI) accident 6.4.2 Chernobyl reactor accident 6.4.3 Fukushima - Daiichi reactor accident 6.5 Integrated disaster preparedness systems 6.5.1 Dual use technologies and practices 6.5.2 Resiliency linked to social-ecological systems 6.5.3 Risk management through securitisation 6.5.4 Monitoring and warning systems 6.5.5 Science-based and people-based preparedness systems 6.5.6 Risk communication 6.5.7 Rehabilitation measures 6.6 Basic research and R&D References Section 7: Overview and Integration - Living in harmony with nature"
"NEPA, Climate Change, and Public Lands Decision-Making",2011,"One of the most difficult challenges facing public land managers today is how to address climate change in a meaningful way when making decisions affecting public lands. This problem is largely the product of the high levels of uncertainty surrounding climate change and the potential consequences of climate change for the large and complex landscapes and ecosystems that public land agencies manage.In February 2010, the Council on Environmental Quality (CEQ) issued draft guidance to federal agencies describing how these agencies should address climate change in their decision documents. Recognizing the difficulty of the task, however, the CEQ’s draft guidance expressly disclaimed any intention of affording assistance to public land management agencies making complex land use decisions. NEPA, Climate Change and Public Lands Decision-Making seeks to fill that gap. It begins by describing the National Environmental Policy Act (NEPA) and the unique difficulties in applying NEPA to climate change and public land management. It then considers three case studies that illustrate the complex challenges that face public land managers, including: (1) the Forest Service’s treatment of the Mountain Pine Beetle in Colorado and Southern Wyoming; (2) the Regional Water Supply Pipeline proposal to bring 250,000 acre feet of water from the Colorado River Basin to the Front Range of Colorado and Southern Wyoming; and (3) fossil fuel leasing on public lands in general, with specific discussions of shale gas fracking, coal mine methane, and oil shale extraction. These case studies form the basis for a series of recommendations for the CEQ and land use planning agencies. Most importantly, the article recommends that land use planning agencies quantify the greenhouse gas (GHG) emissions that result from their proposed actions and attach a price to those emissions that reflects the marginal social cost of climate change that might result from those emissions. Although the social cost of GHG emissions may be uncertain, assigning a price to those emissions that reflects their social cost will promote more accurate cost assessments, and ensures that such costs become a meaningful part of the decision-making process. The article also recommends that the CEQ propose rules to ensure that agencies are held accountable when they commit to adaptive management in their decision documents. Finally, the article offers several general recommendations for coping effectively with the uncertainty and scale of climate change."
New legitimacy to concerns about fracking and health,2014,"While scientists and area residents have been sounding the alarm about the health impacts of shale gas drilling for years, recent studies, a legal decision and public health advocates are bringing greater legitimacy to concerns. Hydraulic fracturing, or fracking, involves drilling vertically, then"
Origins and Consequences of State-Level Variation in Shale Regulation: The Cases of Pennsylvania and New York,2015,"The combination of hydraulic fracturing and horizontal drilling unlocked the economic potential of shale gas in the United States. However, the regulatory response to shale gas has varied substantially. This chapter considers the political economy of Marcellus Shale, focusing on differences in regulatory responses in Pennsylvania and New York. It suggests that the regulatory response in Pennsylvania is “efficient” and that different responses can be explained by features of politics, rather than geography, relative prices, or institutions. The chapter concludes by considering the benefits and costs of federal regulation of fracking. Although states have varied substantially in their response to fracking, decentralized governance of shale gas has many benefits and few discernible costs."
Participatory Air Monitoring in the Midst of Uncertainty: Residents’ Experiences with the Speck Sensor,2017,"How do participants engage in at-home air monitoring in the midst of uncertain exposures to airborne emissions associated with unconventional natural gas development (UNGD) activities? We investigate residents’ experiences with the “Speck” particulate matter sensor with an emerging environmental health resource center called the Southwest Pennsylvania Environmental Health Project (EHP).  In response to the gaps in knowledge about the health impacts of UNGD and the growth citizen science tools, participatory environmental monitoring (PEM) projects have taken off in shale gas communities. Using interview and survey data from residents, advocates, and activists we show that residents use the Speck as: 1) “environmental health thermometers” to make real time decisions based on readings; 2) real-time tools of exposure-validation to immediately validate or invalidate suspicions of exposure; 3) “epistemic objects” or tools manipulated in exploratory ways to understand their efficacy in monitoring UNGD; and 4) passively by those who chose to rarely interact with the monitors and rather waited for overall analysis of results.  While PEM’s have been critiqued for potentially passing the burden of monitoring onto communities, our research shows PEM, when connected with research and public health organizations like EHP, can both empower individuals by increasing their perceived and actual agency and build collective knowledge by producing novel scientific findings. The modes of participation identified here each imply individual and community-level outcomes. When connected with an organization like EHP, Speck monitoring enabled participating individual the latitude to develop their own research and make immediate use of the data, while also creating data useful for aggregated scientific analyses that provoke new questions about the health risks associated with UNGD."
Peak oil and energy policy—a critique,2011,"Energy policy has frequently been based upon assumptions about future oil prices. At the end of the 1970s it was assumed oil prices would continue to rise. Now a similar assumption pervades policy design. This article critiques the peak oil hypotheses which lie behind these forecasts and policy beliefs, and considers that, from a climate change perspective, the challenge is too much not too little fossil fuel reserves. The coming of shale gas, its fungibility with oil via the electrification of transport, along with technological advances in increasing the depletion rates of existing wells and new reserves, together undermine that assumption that rising oil prices will rapidly make renewable and other low-carbon technologies cost competitive without subsidies. The paper suggests indexing carbon prices to the oil price, infrastructure investment, strategic storage, and a focus on market failures provides a superior approach to energy policy rather than relying on forecasts of oil prices and picking winners."
Policy decisions on shale gas development ('fracking'): the insufficiency of science and necessity of moral thought,2015,"A constant refrain in both public discourse and academic research on shale gas development has been the necessity for 'sound science' to govern policy decisions. Rare, however, is the recommendation that effective policy on this topic also include 'sound moral thought'. I argue that: (1) philosophy (particularly moral thought and ethical reasoning) and science must work in tandem for making good policy decisions related to shale gas development, and (2) this realisation is essential for policy-makers, journalists, researchers, educators and the public. By examining the range of normative claims offered within academic and public discourse, the variation in claims across contexts and the degree to which the normative arguments are well-supported, I illustrate the important role increased attention to moral thought could play in forwarding policy construction on shale gas development. Finally, I offer recommendations for how policy-makers, journalists, researchers and educators can more actively acknowledge the importance of both science and moral thought in policy-making related to shale gas development."
"Policy learning, motivated scepticism, and the politics of shale gas development in British Columbia and Quebec",2017,"AbstractWhat is policy learning and how do we know when we observe it? This article develops an original way of operationalizing policy learning at the individual and subsystem level. First, it juxtaposes four types of opinion change at the individual level – opinion shifting; opinion softening; position-taking and opinion hardening. This last change, we argue is indicative of motivated scepticism, a non-learning process that we borrow from public opinion studies. Second, we identify factors associated with opinion change and argue that some of them indicate policy learning, while others point to motivated scepticism. Lastly, we examine learning and motivated scepticism against patterns of opinion convergence (the expected outcome of learning) and polarization (the expected outcome of motivated scepticism) at the subsystem level. We illustrate the use of this approach to study policy learning with the case of shale gas development in two Canadian provinces, British Columbia and Quebec. While, we find clea..."
Policy recommendations to promote shale gas development in China based on a technical and economic evaluation,2015,"Because of its resource potential and clean burning advantages, the development of shale gas can significantly increase the supply of cleaner energy while offering the associated benefits. To foster shale gas development, many policy incentives have been introduced in China. However, the current incentives have not been sufficiently aggressive, and the shale gas industry has been slow to develop. Existing policies thus need to be further improved. To provide effective support for decision makers in China, a technical and economic evaluation is performed in this study to explore the profitability of shale gas production in pilot zones. The results show that shale gas production is subeconomic under the current technical and economic conditions. Based on this evaluation, a policy analysis is conducted to investigate the profitability improvement offered by the major policies available in China to elucidate a path toward improving incentive policies. The results indicate that policy instruments related to gas prices, financial subsidies, corporate income taxes or combinations thereof could be used as priority options to improve policy incentives. Based on these results, recommendations are presented to improve the current incentive polices aimed at accelerating shale gas development."
"Promising synergies to address water, sequestration, legal, and public acceptance issues associated with large-scale implementation of CO2 sequestration",2012,"Stabilization of CO2 atmospheric concentrations requires practical strategies to address the challenges posed by the continued use of coal for baseload-electricity production. Over the next two decades, CO2 capture and sequestration (CCS) demonstration projects would need to increase several orders of magnitude across the globe in both size and scale. This task has several potential barriers which will have to be accounted for. These barriers include those that have been known for a number of years including safety of subsurface sequestration, pore-space competition with emerging activities like shale gas production, legal and regulatory frameworks, and public acceptance and technical communication. In addition water management is a new challenge that should be actively and carefully considered across all CCS operations. A review of the new insights gained on these previously and newly identified challenges, since the IPCC special report on CCS, is presented in this paper. While somewhat daunting in scope, some of these challenges can be addressed more easily by recognizing the potential advantageous synergies that can be exploited when these challenges are dealt with in combination. For example, active management of water resources, including brine in deep subsurface formations, can provide the additional cooling-water required by the CO2 capture retrofitting process while simultaneously reducing sequestration leakage risk and furthering efforts toward public acceptance. This comprehensive assessment indicates that water, sequestration, legal, and public acceptance challenges ought to be researched individually, but must also be examined collectively to exploit the promising synergies identified herein. Exploitation of these synergies provides the best possibilities for successful large-scale implementation of CCS."
Regulating Water Security in Unconventional Oil and Gas: An Introduction,2020,"The last 20 years have seen dramatic growth in the production of oil and gas from shale, as production techniques developed in the latter half of the twentieth century have advanced under largely favorable economic conditions. Hydraulic fracturing is a well stimulation technique in which sand and other proppants suspended in fluids are forced at high pressure through cracks in shale rock to free hydrocarbons to flow to the surface. This requires significant volumes of water and presents challenges for protecting nearby humans and the environment from water, air, and noise pollution, as well as other effects of the activity. Legal, policy, and regulatory issues related to the use of water for hydraulic fracturing are present at every stage of such “unconventional” operations. Operators must understand the legal, political and hydrological context of their surroundings, gain community cooperation or confront social resistance, procure water for use in the fracturing and extraction processes, collect flowback and produced water, and dispose of these waters safely. A recent study found significant increases in water use for hydraulic fracturing and wastewater production in major shale gas and oil production regions, with attendant increases in water-use intensity over time (i.e., water use normalized to the energy production) (Kondash et al. 2018). The water volumes required for hydraulic fracturing are only likely to grow over time, as will the challenges of meeting that demand, and of disposing of wastewater associated with that production. This book considers how regulators and other decision makers have addressed many of these issues, considering varying legal frameworks, political systems, social acceptance, and geologies around the world (Fig. 1.1)."
Risks and risk governance in unconventional shale gas development.,2014,"A broad assessment is provided of the current state of knowledge regarding the risks associated with shale gas development and their governance. For the principal domains of risk, we identify observed and potential hazards and promising mitigation options to address them, characterizing current knowledge and research needs. Important unresolved research questions are identified for each area of risk, however, certain domains exhibit especially acute deficits of knowledge and attention, including integrated studies of public health, ecosystems, air quality, socioeconomic impacts on communities, and climate change. For these, current research and analysis are insufficient to either confirm or preclude important impacts. The rapidly evolving landscape of shale gas governance in the U.S. is also assessed, noting challenges and opportunities associated with the current decentralized (state-focused) system of regulation. We briefly review emerging approaches to shale gas governance in other nations, and conside..."
Shale gas development: a smart regulation framework.,2014,"Advances in directional drilling and hydraulic fracturing have sparked a natural gas boom from shale formations in the United States. Regulators face a rapidly changing industry comprised of hundreds of players, operating tens of thousands of wells across 30 states. They are often challenged to respond by budget cuts, a brain drain to industry, regulations designed for conventional gas developments, insufficient information, and deeply polarized debates about hydraulic fracturing and its regulation. As a result, shale gas governance remains a halting patchwork of rules, undermining opportunities to effectively characterize and mitigate development risk.The situation is dynamic, with research and incremental regulatory advances underway. Into this mix, we offer the CO/RE framework—characterization of risk, optimization of mitigation strategies, regulation, and enforcement—to design tailored governance strategies. We then apply CO/RE to three types of shale gas risks, to illustrate its potential utility to ..."
"Shale Gas Development: If the Goal is Fact-Based Regulation, What are the Facts?",2011,"The term “fracing” has become the lightning rod for environmental concerns related to the development of the vast shale gas resources in the United States and the world. This initiative is focused on, but not limited to, compiling specific concerns that have been raised about hydraulic fracturing and determining which ones have been investigated and verified and which ones have not. For those that have been authenticated, we are seeking information on the part of the development and production process that actually caused the problem. Based on separating facts from perceptions and misrepresentations, we will formulate ecommendations regarding ways to ensure that policies, regulations, and public opinions reflect actual conditions and impacts. Seismicity and air quality impacts are also being addressed. The goal is to promote a regulatory framework that is grounded in scientific understanding and to achieve effective communication of factbased assessments of environmental impacts. ￻"
"Shale gas extraction, precaution and prevention: A conversation on regulatory responses",2016,"Abstract Shale gas in the EU and its Member States faces increasing attention from a regulatory perspective. Questions about the role of law regarding the development of shale gas extraction in Europe are being asked. The role of law within science, as Laurie et al. suggest, involves an important decision: “whether the law is an enabler or a prohibitor of technologies” (Laurie, G., Harmon, S.H., Arzuaga, F., ‘Foresighting Futures: Law, New Technologies, and the Challenges of Regulating for Uncertainty’ 4 Law, Innovation and Technology 1 (2012), 1–33, at 10) [1] . At best, the law should promote the development of a technology without unduly compromising the protection of society and the environment from consequences of uncertainties and potential threats of an associated technology (Laurie, G., Harmon, S.H., Arzuaga, F., ‘Foresighting Futures: Law, New Technologies, and the Challenges of Regulating for Uncertainty’ 4 Law, Innovation and Technology 1 (2012), 1–33, at 10) [2] . The principles of precaution and prevention are the two main tools of European law, which shall help to strike a balance between enabling and prohibiting the development of an emerging energy technology like shale gas extraction. This article departs from the perspective that law at EU level is imposing control on the management of “known” risks via the preventive principle. Regarding “uncertainties” or “unknowns”, decision makers are legally obliged to be guided by the precautionary principle. This paper discusses the two environmental law principles – precaution or prevention – and contemplates which of them would be most apt for guiding the regulation of shale gas extraction in Europe. It concludes that regulation on shale gas extraction could be based on either of these principles for different reasons."
Shale gas governance in the United Kingdom and the United States: Opportunities for public participation and the implications for social justice,2017,"Abstract Questions abound about the appropriate governance systems to manage the risks of unconventional oil and gas development, and the ability for citizens to engage and participate in those systems. In this paper, we map the development of shale gas governance in the US and UK; we highlight the contrasting systems of land ownership and mineral rights, compare the opportunities that these systems of governance present the general public to participate and become involved in shale gas decisions and consider the implications on issues of social justice. We conclude that in both countries, that despite government and industry engagement rhetoric and associated processes, the publics’ influence on shale gas decisions is perceived to be minimal or not at all. We argue that the implications of the observed institutional governance systems, with few opportunities for citizen influence, are developments which inherently lack social justice, procedural fairness, and ultimately, a social license to operate."
Shale gas operator violations in the Marcellus and what they tell us about water resource risks,2015,"Abstract Development of shale gas entails environmental risk, particularly with respect to water resources, and stakeholders are keen to assess such risks before making development decisions. We focus on Pennsylvania, USA and the Marcellus Shale, the most productive shale play in the country. We examine compliance data recorded by the state regulatory agency in order to assess environmental risks and their trends and drivers over time. Overall, we track 3267 shale gas violations, noting that environmental violation rates increase from 2007 to 2009, remain high through 2010, and then drop in 2011 and thereafter. Violations related to spills and erosion were most commonly issued. A single change in policy resulted in a 45% decrease in environmental violation rates. Furthermore, for every 1% increase in wells drilled per inspections conducted, there was a 0.56% decrease in environmental violation rates. Similar effects were not found for administrative violations. Operator identity, price of gas, and other major policies were not significantly correlated with violation rates. In comparing conventional and shale gas extraction compliance we found that shale gas development entails more risk related to spills and solid waste management, while conventional development entails more risk associated with cementing and casing issues, and site restoration."
Shale Gas U-Turns in Bulgaria and Romania: The Turbulent Politics of Energy and Protest,2014,"After France, Bulgaria became the second EU country to enact an open-ended ban on hydraulic fracturing in early 2012. This government action was a radical departure from an initially friendly, even enthusiastic stance on unconventional gas development. It resulted in months of unprecedented, broad political protest from environmental groups and local communities. The conflict was interpreted as one involving old questions about Bulgaria’s orientation toward Russia or the West. In neighbouring Romania, Bulgaria’s U-turn on shale gas energized a protest movement which had been relatively weak. In a turbulent election-year context, political leaders scrambled to deal with highly symbolic issues. A new government introduced a moratorium but ended it less than a year later. Another U-turn in public policy happened. Romania parted from Bulgaria’s example and set out to move forward on shale gas, aiding foreign investors. Massive protests against the policy and the investors surged, encircling the drilling operations. In both countries, public mistrust in institutions, environmental regulations and due process of law is a significant factor of political risk for energy companies. Keywords : Bulgaria, Chevron, civil society, communication, energy, energy policy, environment, fracking, hydraulic fracturing, moratorium, Nabucco, natural gas, pipelines, political risk, protest, Gazprom, Romania, Russia, shale gas, South Stream, unconventional gas, USA"
Shale Governance in the European Union: Principles and Practice,2014,"The extraction of shale gas — mainly through the process of hydraulic fracturing or “fracking” — has become a central if contentious area of energy policy in the European Union (EU). Like their US counterparts, European policymakers are attracted by the potential huge economic and energy benefits of shale extraction, yet must also address dangers and risks associated with extracting natural gas from shale fields. How might policymakers govern this new policy area? Europe’s approach to shale gas governance is still in its infancy, but several guiding principles can be identified through an examination of the EU’s treaties, rules, policy principles, and practices. The most important governing principles include the precautionary principle, transparency, consultation/stakeholder “buy-in,” and environmental sustainability. Adoption of such governance principles provides useful guidelines for policymakers, and reassurance for the public. Positive lessons from their application can be applied to the US. But a close examination of their application in the EU suggests two important themes. First is the importance of context: how, when and why principles are applied will shape their effectiveness and impact. Secondly, the examination reveals that each of these principles is double-edged with clear advantages and clear limits. None alone will provide the “golden ticket” to effective shale governance."
